id,make,model,model_year,vin
971,Chevrolet,Blazer,2004,1G6AB5S36F0424880
972,Lexus,LX,2011,1GYS4AEF0ER287675
973,Land Rover,LR4,2012,SCBBR93W878652141
974,Toyota,Camry,1997,JN8AZ2KR4CT658039
975,Mercedes-Benz,M-Class,2004,2C4RDGBG1FR810475
976,Volvo,XC90,2003,WAUKG68E15A947537
977,Maserati,Karif,1989,WBALZ3C52CD366659
978,Toyota,Paseo,1993,WBAVB73508F703233
979,Pontiac,G6,2008,WA1WMAFE7FD259233
980,Ford,Explorer,2004,3FADP0L37AR983012
981,Lincoln,Town Car,2005,SCBZB25E52C313616
982,Nissan,Maxima,2005,19XFB2E5XCE984760
983,BMW,530,2007,WBAVL1C50DV237927
984,Chevrolet,Prizm,2002,1FMCU0C78AK017394
985,Chevrolet,APV,1993,2G61M5S3XE9018079
986,Chevrolet,G-Series 2500,1997,3D4PH6FV4AT511604
987,Volkswagen,Corrado,1991,1G4HR57Y38U857236
988,Volkswagen,Golf,1998,YV126MFJXF1168000
989,Toyota,Previa,1997,SCFFDCCD5CG685821
990,Cadillac,Escalade ESV,2011,KNADM4A32D6691165
991,Chevrolet,Silverado 3500,2002,YV4952CF9C1455915
992,Suzuki,Aerio,2003,1N6AA0CJ3EN946400
993,MINI,Cooper,2010,JHMZF1C62CS983007
994,Pontiac,G6,2007,5XYKT3A18BG565649
995,Pontiac,Sunfire,2003,JH4KA966X2C158044
996,Buick,Century,2001,2T2BK1BA4FC892407
997,Ford,Aspire,1997,WP0AA2A97FS440790
998,Mazda,MX-5,1993,KM8NU4CC2AU455977
999,Chevrolet,Express 3500,2006,WDDNG9FB6DA498239
1000,Ford,Windstar,1996,WBABN73473P117388
